Interval=	0.0001 s
ExcelDateTime=	3.9815061567394674e+004	2009/1/2 1:28:39.4229
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
0.0157	-0.239	-0.000
0.0158	-0.235	-0.000
0.0159	-0.234	-0.001
0.016	-0.235	-0.000
0.0161	-0.232	-0.000
0.0162	-0.232	-0.000
0.0163	-0.229	-0.000
0.0164	-0.225	-0.000
0.0165	-0.227	0.000
0.0166	-0.221	0.000
0.0167	-0.221	-0.000
0.0168	-0.212	-0.001
0.0169	-0.206	-0.000
0.017	-0.207	-0.001
0.0171	-0.208	0.000
0.0172	-0.208	0.000
0.0173	-0.200	-0.000
0.0174	-0.201	0.000
0.0175	-0.203	0.000
0.0176	-0.203	-0.000
0.0177	-0.203	-0.000
0.0178	-0.200	-0.001
0.0179	-0.195	-0.001
0.018	-0.196	0.000
0.0181	-0.197	-0.000
0.0182	-0.202	0.000
0.0183	-0.207	-0.000
0.0184	-0.211	0.000
0.0185	-0.209	-0.000
0.0186	-0.212	-0.001
0.0187	-0.215	-0.000
0.0188	-0.218	0.000
0.0189	-0.219	0.000
0.019	-0.220	-0.001
0.0191	-0.217	-0.000
0.0192	-0.220	-0.000
0.0193	-0.219	-0.001
0.0194	-0.221	0.000
0.0195	-0.220	-0.000
0.0196	-0.225	-0.000
0.0197	-0.231	0.000
0.0198	-0.231	-0.000
0.0199	-0.230	0.000
0.02	-0.230	0.000
0.0201	-0.237	-0.000
0.0202	-0.236	-0.000
0.0203	-0.236	-0.000
0.0204	-0.235	-0.000
0.0205	-0.228	-0.000
0.0206	-0.226	0.000
0.0207	-0.225	0.000
0.0208	-0.226	0.000
0.0209	-0.224	-0.001
0.021	-0.222	-0.001
0.0211	-0.225	-0.001
0.0212	-0.225	-0.000
0.0213	-0.223	0.000
0.0214	-0.226	-0.000
0.0215	-0.228	0.000
0.0216	-0.231	-0.000
0.0217	-0.230	-0.000
0.0218	-0.231	-0.001
0.0219	-0.232	-0.000
0.022	-0.230	-0.001
0.0221	-0.228	-0.000
0.0222	-0.227	0.000
0.0223	-0.224	-0.001
0.0224	-0.223	-0.000
0.0225	-0.224	-0.000
0.0226	-0.227	-0.000
0.0227	-0.228	0.000
0.0228	-0.229	0.000
0.0229	-0.230	0.000
0.023	-0.229	-0.001
0.0231	-0.228	-0.001
0.0232	-0.226	0.000
0.0233	-0.224	0.000
0.0234	-0.220	-0.000
0.0235	-0.219	0.000
0.0236	-0.219	0.000
0.0237	-0.217	0.000
0.0238	-0.218	-0.000
0.0239	-0.224	-0.000
0.024	-0.220	-0.000
0.0241	-0.219	-0.001
0.0242	-0.221	-0.000
0.0243	-0.219	-0.000
0.0244	-0.222	0.000
0.0245	-0.220	-0.001
0.0246	-0.222	-0.000
0.0247	-0.224	0.000
0.0248	-0.227	0.000
0.0249	-0.238	-0.000
0.025	-0.238	-0.000
0.0251	-0.239	-0.001
0.0252	-0.239	-0.000
0.0253	-0.240	-0.001
0.0254	-0.242	-0.000
0.0255	-0.245	-0.001
0.0256	-0.248	0.000
0.0257	-0.249	0.000
0.0258	-0.245	-0.000
0.0259	-0.245	-0.000
0.026	-0.240	-0.000
0.0261	-0.237	-0.001
0.0262	-0.235	0.000
0.0263	-0.233	-0.001
0.0264	-0.231	-0.001
0.0265	-0.227	-0.001
0.0266	-0.225	0.000
0.0267	-0.220	0.000
0.0268	-0.221	0.000
0.0269	-0.218	-0.000
0.027	-0.216	-0.000
0.0271	-0.219	0.000
0.0272	-0.219	-0.000
0.0273	-0.220	-0.000
0.0274	-0.221	-0.001
0.0275	-0.219	-0.000
0.0276	-0.219	-0.000
0.0277	-0.222	0.000
0.0278	-0.222	-0.000
0.0279	-0.221	-0.000
0.028	-0.218	-0.000
Interval=	0.000100 s
ExcelDateTime=	3.9815061635704857e+004	2009/1/2 1:28:45.3249
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1	Channel 2
Range=	10.000 V	10.000 V
-0.0019	-0.219	-0.001
-0.0018	-0.218	-0.000
-0.0017	-0.220	-0.001
-0.0016	-0.216	-0.001
-0.0015	-0.214	-0.001
-0.0014	-0.212	-0.001
-0.0013	-0.211	-0.001
-0.0012	-0.215	-0.001
-0.0011	-0.217	0.000
-0.001	-0.221	-0.001
-0.0009	-0.225	-0.001
-0.0008	-0.228	-0.000
-0.0007	-0.232	-0.000
-0.0006	-0.233	-0.001
-0.0005	-0.237	-0.001
-0.0004	-0.237	-0.001
